title,description,published date,url,publisher
Apple pushes out software update to address overheating in new ... - CBS News,Apple pushes out software update to address overheating in new ...  CBS News,"Wed, 04 Oct 2023 23:53:12 GMT",https://consent.google.com/m?continue=https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmNic25ld3MuY29tL3ZpZGVvL2FwcGxlLXB1c2hlcy1vdXQtc29mdHdhcmUtdXBkYXRlLXRvLWFkZHJlc3Mtb3ZlcmhlYXRpbmctaW4tbmV3LWlwaG9uZS0xNS_SAQA?oc%3D5&gl=DE&m=0&pc=n&cm=2&hl=en-US&src=1,"{'href': 'https://www.cbsnews.com', 'title': 'CBS News'}"
I'm the real Siri — I've been forced to change my name after Apple's latest system update - New York Post,I'm the real Siri — I've been forced to change my name after Apple's latest system update  New York Post ,"Wed, 04 Oct 2023 23:30:00 GMT",https://consent.google.com/m?continue=https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vbnlwb3N0LmNvbS8yMDIzLzEwLzA0L3dvbWFuLW5hbWVkLXNpcmktZm9yY2VkLXRvLWNoYW5nZS1uYW1lLWFmdGVyLWFwcGxlcy1sYXRlc3Qtc3lzdGVtLXVwZGF0ZS_SAWtodHRwczovL255cG9zdC5jb20vMjAyMy8xMC8wNC93b21hbi1uYW1lZC1zaXJpLWZvcmNlZC10by1jaGFuZ2UtbmFtZS1hZnRlci1hcHBsZXMtbGF0ZXN0LXN5c3RlbS11cGRhdGUvYW1wLw?oc%3D5&gl=DE&m=0&pc=n&cm=2&hl=en-US&src=1,"{'href': 'https://nypost.com', 'title': 'New York Post'}"
Unicoi County Apple Festival coming up this weekend - WCYB,Unicoi County Apple Festival coming up this weekend  WCYB,"Wed, 04 Oct 2023 22:51:35 GMT",https://consent.google.com/m?continue=https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd2N5Yi5jb20vbmV3cy9sb2NhbC91bmljb2ktY291bnR5LWFwcGxlLWZlc3RpdmFsLWNvbWluZy11cC10aGlzLXdlZWtlbmTSAVNodHRwczovL3djeWIuY29tL2FtcC9uZXdzL2xvY2FsL3VuaWNvaS1jb3VudHktYXBwbGUtZmVzdGl2YWwtY29taW5nLXVwLXRoaXMtd2Vla2VuZA?oc%3D5&gl=DE&m=0&pc=n&cm=2&hl=en-US&src=1,"{'href': 'https://wcyb.com', 'title': 'WCYB'}"
Volunteers prep for the return of the Apple Day in Hamilton - KPAX News,Volunteers prep for the return of the Apple Day in Hamilton  KPAX News,"Wed, 04 Oct 2023 22:32:32 GMT",https://consent.google.com/m?continue=https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LmtwYXguY29tL25ld3MvcmF2YWxsaS1jb3VudHkvdm9sdW50ZWVycy1wcmVwLWZvci10aGUtcmV0dXJuLW9mLXRoZS1hcHBsZS1kYXktaW4taGFtaWx0b27SAQA?oc%3D5&gl=DE&m=0&pc=n&cm=2&hl=en-US&src=1,"{'href': 'https://www.kpax.com', 'title': 'KPAX News'}"
DIY Tinkerer Invents MacBook Tool That Breaks Apple's Repair Locks - apple.slashdot.org,DIY Tinkerer Invents MacBook Tool That Breaks Apple's Repair Locks  apple.slashdot.org,"Wed, 04 Oct 2023 21:46:42 GMT",https://consent.google.com/m?continue=https://news.google.com/rss/articles/CBMicmh0dHBzOi8vYXBwbGUuc2xhc2hkb3Qub3JnL3N0b3J5LzIzLzEwLzA0LzIxMzIyOC9kaXktdGlua2VyZXItaW52ZW50cy1tYWNib29rLXRvb2wtdGhhdC1icmVha3MtYXBwbGVzLXJlcGFpci1sb2Nrc9IBAA?oc%3D5&gl=DE&m=0&pc=n&cm=2&hl=en-US&src=1,"{'href': 'https://apple.slashdot.org', 'title': 'apple.slashdot.org'}"
Apple Releases Safari Technology Preview 180 With Bug Fixes and ... - MacRumors,Apple Releases Safari Technology Preview 180 With Bug Fixes and ...  MacRumors,"Wed, 04 Oct 2023 21:44:42 GMT",https://consent.google.com/m?continue=https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3Lm1hY3J1bW9ycy5jb20vMjAyMy8xMC8wNC9hcHBsZS1yZWxlYXNlcy1zYWZhcmktdGVjaG5vbG9neS1wcmV2aWV3LTE4MC_SAQA?oc%3D5&gl=DE&m=0&pc=n&cm=2&hl=en-US&src=1,"{'href': 'https://www.macrumors.com', 'title': 'MacRumors'}"
"EU to study mobile ecosystems to counter any Apple, Google ... - Reuters","EU to study mobile ecosystems to counter any Apple, Google ...  Reuters","Wed, 04 Oct 2023 21:01:00 GMT",https://consent.google.com/m?continue=https://news.google.com/rss/articles/CBMidWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3RlY2hub2xvZ3kvZXUtc3R1ZHktbW9iaWxlLWVjb3N5c3RlbXMtY291bnRlci1hbnktYXBwbGUtZ29vZ2xlLWFudGl0cnVzdC1wdXNoYmFjay0yMDIzLTEwLTA0L9IBAA?oc%3D5&gl=DE&m=0&pc=n&cm=2&hl=en-US&src=1,"{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
"Apple iPhone 16, iPhone 16 Pro Design Updates Detailed In New Leak - Forbes","Apple iPhone 16, iPhone 16 Pro Design Updates Detailed In New Leak  Forbes","Wed, 04 Oct 2023 21:00:54 GMT",https://consent.google.com/m?continue=https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZGF2aWRwaGVsYW4vMjAyMy8xMC8wNC9hcHBsZS1pcGhvbmUtMTYtaXBob25lLTE2LXByby1kZXNpZ24tdXBkYXRlcy1kZXRhaWxlZC1pbi1uZXctbGVhay_SAXpodHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2RhdmlkcGhlbGFuLzIwMjMvMTAvMDQvYXBwbGUtaXBob25lLTE2LWlwaG9uZS0xNi1wcm8tZGVzaWduLXVwZGF0ZXMtZGV0YWlsZWQtaW4tbmV3LWxlYWsvYW1wLw?oc%3D5&gl=DE&m=0&pc=n&cm=2&hl=en-US&src=1,"{'href': 'https://www.forbes.com', 'title': 'Forbes'}"
What to Expect From the Next Apple TV Rumored to Launch in 2024 - MacRumors,What to Expect From the Next Apple TV Rumored to Launch in 2024  MacRumors,"Wed, 04 Oct 2023 20:34:56 GMT",https://consent.google.com/m?continue=https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3Lm1hY3J1bW9ycy5jb20vMjAyMy8xMC8wNC93aGF0LXRvLWV4cGVjdC1mcm9tLTIwMjQtYXBwbGUtdHYv0gEA?oc%3D5&gl=DE&m=0&pc=n&cm=2&hl=en-US&src=1,"{'href': 'https://www.macrumors.com', 'title': 'MacRumors'}"
Judge Allows CU Class Action Suit Against Apple to Move Forward - Credit Union Times,Judge Allows CU Class Action Suit Against Apple to Move Forward  Credit Union Times,"Wed, 04 Oct 2023 20:17:32 GMT",https://consent.google.com/m?continue=https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LmN1dGltZXMuY29tLzIwMjMvMTAvMDQvanVkZ2UtYWxsb3dzLWN1LWNsYXNzLWFjdGlvbi1zdWl0LWFnYWluc3QtYXBwbGUtdG8tbW92ZS1mb3J3YXJkL9IBaWh0dHBzOi8vd3d3LmN1dGltZXMuY29tLzIwMjMvMTAvMDQvanVkZ2UtYWxsb3dzLWN1LWNsYXNzLWFjdGlvbi1zdWl0LWFnYWluc3QtYXBwbGUtdG8tbW92ZS1mb3J3YXJkLz9hbXA9MQ?oc%3D5&gl=DE&m=0&pc=n&cm=2&hl=en-US&src=1,"{'href': 'https://www.cutimes.com', 'title': 'Credit Union Times'}"
