title,description,published date,url,publisher,date
Making the most out of Google Maps on your Apple Watch - MyHealthyApple,Making the most out of Google Maps on your Apple Watch  MyHealthyApple,"Thu, 11 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3Lm15aGVhbHRoeWFwcGxlLmNvbS9tYWtpbmctdGhlLW1vc3Qtb3V0LW9mLWdvb2dsZS1tYXBzLW9uLXlvdXItYXBwbGUtd2F0Y2gv0gEA?oc=5,"{'href': 'https://www.myhealthyapple.com', 'title': 'MyHealthyApple'}",2021-02-11
Google dark mode is coming to desktop – and you may already have it - Creative Bloq,Google dark mode is coming to desktop – and you may already have it  Creative Bloq,"Fri, 12 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3LmNyZWF0aXZlYmxvcS5jb20vbmV3cy9nb29nbGUtZGFyay1tb2Rl0gEA?oc=5,"{'href': 'https://www.creativebloq.com', 'title': 'Creative Bloq'}",2021-02-11
Google goes dark theme and passage ranking sees the light: Friday's daily brief - Search Engine Land,Google goes dark theme and passage ranking sees the light: Friday's daily brief  Search Engine Land,"Fri, 12 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vc2VhcmNoZW5naW5lbGFuZC5jb20vZ29vZ2xlLWdvZXMtZGFyay10aGVtZS1hbmQtcGFzc2FnZS1yYW5raW5nLXNlZXMtdGhlLWxpZ2h0LWZyaWRheXMtZGFpbHktYnJpZWYtMzQ2MDUz0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://searchengineland.com', 'title': 'Search Engine Land'}",2021-02-11
Pixel-exclusive photo editing features are coming to other phones as a Google One membership perk - Android Police,Pixel-exclusive photo editing features are coming to other phones as a Google One membership perk  Android Police,"Thu, 11 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiiwFodHRwczovL3d3dy5hbmRyb2lkcG9saWNlLmNvbS8yMDIxLzAyLzExL3BpeGVsLWV4Y2x1c2l2ZS1waG90by1lZGl0aW5nLWZlYXR1cmVzLWFyZS1jb21pbmctdG8tb3RoZXItcGhvbmVzLWFzLWEtZ29vZ2xlLW9uZS1tZW1iZXJzaGlwLXBlcmsv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.androidpolice.com', 'title': 'Android Police'}",2021-02-11
Google Dark Mode Makes Ads Listings Look More Like Organic Listings - Search Engine Roundtable,Google Dark Mode Makes Ads Listings Look More Like Organic Listings  Search Engine Roundtable,"Thu, 11 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3LnNlcm91bmR0YWJsZS5jb20vZ29vZ2xlLWRhcmstbW9kZS1nb29nbGUtc2VhcmNoLWFkcy0zMDkxMy5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.seroundtable.com', 'title': 'Search Engine Roundtable'}",2021-02-11
Apple will proxy Safe Browsing traffic on iOS 14.5 to hide user IPs from Google - ZDNet,Apple will proxy Safe Browsing traffic on iOS 14.5 to hide user IPs from Google  ZDNet,"Fri, 12 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LnpkbmV0LmNvbS9hcnRpY2xlL2FwcGxlLXdpbGwtcHJveHktc2FmZS1icm93c2luZy10cmFmZmljLW9uLWlvcy0xNC01LXRvLWhpZGUtdXNlci1pcHMtZnJvbS1nb29nbGUv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"{'href': 'https://www.zdnet.com', 'title': 'ZDNet'}",2021-02-11
How to choose fonts in Google Sites - TechRepublic,How to choose fonts in Google Sites  TechRepublic,"Fri, 12 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LnRlY2hyZXB1YmxpYy5jb20vYXJ0aWNsZS9ob3ctdG8tY2hvb3NlLWZvbnRzLWluLWdvb2dsZS1zaXRlcy_SAQA?oc=5,"{'href': 'https://www.techrepublic.com', 'title': 'TechRepublic'}",2021-02-11
Australia report says make Google and Facebook pay for news - Fox Business,Australia report says make Google and Facebook pay for news  Fox Business,"Fri, 12 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9wb2xpdGljcy9hdXN0cmFsaWEtcmVwb3J0LXNheXMtbWFrZS1nb29nbGUtYW5kLWZhY2Vib29rLXBheS1mb3ItbmV3c9IBZGh0dHBzOi8vd3d3LmZveGJ1c2luZXNzLmNvbS9wb2xpdGljcy9hdXN0cmFsaWEtcmVwb3J0LXNheXMtbWFrZS1nb29nbGUtYW5kLWZhY2Vib29rLXBheS1mb3ItbmV3cy5hbXA?oc=5,"{'href': 'https://www.foxbusiness.com', 'title': 'Fox Business'}",2021-02-11
Google On Image SEO In Detail - Search Engine Roundtable,Google On Image SEO In Detail  Search Engine Roundtable,"Thu, 11 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vd3d3LnNlcm91bmR0YWJsZS5jb20vZ29vZ2xlLW9uLWltYWdlLXNlby1pbi1kZXRhaWwtMzA5MTEuaHRtbNIBAA?oc=5,"{'href': 'https://www.seroundtable.com', 'title': 'Search Engine Roundtable'}",2021-02-11
Unofficial project brings the Google Assistant to your desktop - Android Police,Unofficial project brings the Google Assistant to your desktop  Android Police,"Thu, 11 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMimwFodHRwczovL3d3dy5hbmRyb2lkcG9saWNlLmNvbS8yMDIxLzAyLzExL3lvdS1jYW4taW5zdGFsbC10aGUtZ29vZ2xlLWFzc2lzdGFudC1vbi13aW5kb3dzLWFuZC1tYWNvcy13aXRoLXRoaXMtYXBwLWFuZC1pdHMtbmljZXItdGhhbi1pdC1oYXMtYW55LXJpZ2h0LXRvLWJlL9IBAA?oc=5,"{'href': 'https://www.androidpolice.com', 'title': 'Android Police'}",2021-02-11
Android Auto Reactivates Google Assistant Routines After 2-Year Absence - Voicebot.ai,Android Auto Reactivates Google Assistant Routines After 2-Year Absence  Voicebot.ai,"Fri, 12 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vdm9pY2Vib3QuYWkvMjAyMS8wMi8xMi9hbmRyb2lkLWF1dG8tcmVhY3RpdmF0ZXMtZ29vZ2xlLWFzc2lzdGFudC1yb3V0aW5lcy1hZnRlci0yLXllYXItYWJzZW5jZS_SAQA?oc=5,"{'href': 'https://voicebot.ai', 'title': 'Voicebot.ai'}",2021-02-11
Ex-Google exec (and current Minnesota DEED chief) Steve Grove: Here's what's good about government - Minneapolis ... - The Business Journals,Ex-Google exec (and current Minnesota DEED chief) Steve Grove: Here's what's good about government - Minneapolis ...  The Business Journals,"Thu, 11 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS90d2luY2l0aWVzL25ld3MvMjAyMS8wMi8xMS9zdGV2ZS1ncm92ZS1vcGluaW9uLWRlZWQtam9iLmh0bWzSAQA?oc=5,"{'href': 'https://www.bizjournals.com', 'title': 'The Business Journals'}",2021-02-11
How to transfer your music from Google Play Music to YouTube Music - What Hi-Fi?,How to transfer your music from Google Play Music to YouTube Music  What Hi-Fi?,"Thu, 11 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LndoYXRoaWZpLmNvbS9hZHZpY2UvaG93LXRvLXRyYW5zZmVyLXlvdXItbXVzaWMtZnJvbS1nb29nbGUtcGxheS1tdXNpYy10by15b3V0dWJlLW11c2lj0gEA?oc=5,"{'href': 'https://www.whathifi.com', 'title': 'What Hi-Fi?'}",2021-02-11
Google Cloud CEO Thomas Kurian Focused on 3 Strategies - Business Insider,Google Cloud CEO Thomas Kurian Focused on 3 Strategies  Business Insider,"Fri, 12 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vZ29vZ2xlLWNsb3VkLWNlby10aG9tYXMta3VyaWFuLWdvbGRtYW4tc2FjaHMtMjAyMS0y0gEA?oc=5,"{'href': 'https://www.businessinsider.com', 'title': 'Business Insider'}",2021-02-11
Google Photos just got killer Pixel features — what you need to know - Tom's Guide,Google Photos just got killer Pixel features — what you need to know  Tom's Guide,"Fri, 12 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LnRvbXNndWlkZS5jb20vbmV3cy9nb29nbGUtcGhvdG9zLWp1c3QtZ290LWtpbGxlci1waXhlbC1mZWF0dXJlcy13aGF0LXlvdS1uZWVkLXRvLWtub3fSAQA?oc=5,"{'href': 'https://www.tomsguide.com', 'title': ""Tom's Guide""}",2021-02-11
